Title,Price,Location,Link
ac DC inverter,N/A,Featured,https://www.olx.com.pk/item/ac-dc-inverter-iid-1112917774
"Haier Refrigerator – Powerful Cooling, Best Price",N/A,Featured,https://www.olx.com.pk/item/haier-refrigerator-powerful-cooling-best-price-iid-1112490600
frezar good condishn  japan,N/A,Featured,https://www.olx.com.pk/item/frezar-good-condishn-japan-iid-1112691390
Air Cooler ECM 6000 Super Asia used,N/A,Featured,https://www.olx.com.pk/item/air-cooler-ecm-6000-super-asia-used-iid-1113321723
juicer 2 in 1,N/A,Featured,https://www.olx.com.pk/item/juicer-2-in-1-iid-1085132846
PEL Desire Infinity,N/A,Featured,https://www.olx.com.pk/item/pel-desire-infinity-iid-1112883469
"K-Broad KTS-1512 (4"") Bluetooth Speaker With Mic by ALI's Electronics",N/A,Buy with Delivery,https://www.olx.com.pk/item/k-broad-kts-1512-4-bluetooth-speaker-with-mic-by-ali-s-electronics-iid-ev452918-1
Electronic LED Mosquito Killer Lamp for Insects Fly Screen Protector for Home USB Powered,N/A,Delivery,https://www.olx.com.pk/item/electronic-led-mosquito-killer-lamp-for-insects-fly-screen-protector-for-home-usb-powered-iid-ev213136-1
CAT STN-28 Wireless Headphone by ALI's Electronics,N/A,Delivery,https://www.olx.com.pk/item/cat-stn-28-wireless-headphone-by-ali-s-electronics-iid-ev440829-1
JBL Boom 990 Portable Bluetooth Speaker – Black,N/A,Delivery,https://www.olx.com.pk/item/jbl-boom-990-portable-bluetooth-speaker-black-iid-ev499600-1
Mini Handheld Cute Fan With Mobile Stand,N/A,Delivery,https://www.olx.com.pk/item/mini-handheld-cute-fan-with-mobile-stand-iid-ev421563-1
Drinking Water Dispenser Portable Electric Water Bottle Pump USB Charging,N/A,Delivery,https://www.olx.com.pk/item/drinking-water-dispenser-portable-electric-water-bottle-pump-usb-charging-iid-ev418302-1
24 in 1 Screwdriver Tool Kit - Pack of 24,N/A,Delivery,https://www.olx.com.pk/item/24-in-1-screwdriver-tool-kit-pack-of-24-iid-ev450925-1
New Arrival Rechargeable Electric Nail Trimmer,N/A,Delivery,https://www.olx.com.pk/item/new-arrival-rechargeable-electric-nail-trimmer-iid-ev491235-1
Imperial Soap Dispenser & Sponge Holder for Kitchen,N/A,Delivery,https://www.olx.com.pk/item/imperial-soap-dispenser-sponge-holder-for-kitchen-iid-ev481764-1
Orient original brand,N/A,Featured,https://www.olx.com.pk/item/orient-original-brand-iid-1113105455
Kenwood Washing Machine and Spinner,N/A,Featured,https://www.olx.com.pk/item/kenwood-washing-machine-and-spinner-iid-1110867399
Dyson dc 36 vacume cleaner,N/A,Featured,https://www.olx.com.pk/item/dyson-dc-36-vacume-cleaner-iid-1113347634
good working,N/A,"Mohalla Chaman Shah, Gujranwala•",https://www.olx.com.pk/item/good-working-iid-1113347726
Dell XPS L702x Core i7-2860QM 3GB Nvidia Graphic card 8GB Ram 500GB,N/A,"Punjab Coop Housing Society, Lahore•",https://www.olx.com.pk/item/dell-xps-l702x-core-i7-2860qm-3gb-nvidia-graphic-card-8gb-ram-500gb-iid-1113347710
Hp ProBook,N/A,•,https://www.olx.com.pk/item/hp-probook-iid-1113347714
zulfiqar ali,N/A,"Silver City, Rawalpindi•",https://www.olx.com.pk/item/zulfiqar-ali-iid-1113347712
paper cutter,N/A,"Teen Talwar Jarwari Shakh, Mirpur Khas•",https://www.olx.com.pk/item/paper-cutter-iid-1113347736
15kva diesel generator,N/A,"Others, Multan•",https://www.olx.com.pk/item/15kva-diesel-generator-iid-1113347670
Fridges & Freezers new condition is avilable,N/A,"Madina Town, Faisalabad•",https://www.olx.com.pk/item/fridges-freezers-new-condition-is-avilable-iid-1113347659
Playstation 2,N/A,"Darul Islam Colony, Attock•",https://www.olx.com.pk/item/playstation-2-iid-1113347654
ssd 1tb,N/A,"Shadbagh, Lahore•",https://www.olx.com.pk/item/ssd-1tb-iid-1113159359
"DELL Core i7 10th Gen 32GB-RAM 256GB-NVMe 14"" 1080p LED Type C charger",N/A,•,https://www.olx.com.pk/item/dell-core-i7-10th-gen-32gb-ram-256gb-nvme-14-1080p-led-type-c-charger-iid-1112398358
"Ps4 Semi jailbreak 1tb total, almost 20 games 03294236889",N/A,"Nespak Housing Scheme, Lahore•",https://www.olx.com.pk/item/ps4-semi-jailbreak-1tb-total-almost-20-games-03294236889-iid-1103176318
